round,name,dates,url
Round-1,Australian Round,21 - 23 Feb,https://www.worldsbk.com//en/event/AUS/2025
Round-2,Pirelli Portuguese Round,28 - 30 Mar,https://www.worldsbk.com//en/event/POR/2025
Round-3,Pirelli Dutch Round,11 - 13 Apr,https://www.worldsbk.com//en/event/NED/2025
Round-4,Acerbis Italian Round,02 - 04 May,https://www.worldsbk.com//en/event/CRE/2025
Round-5,Motul Czech Round,16 - 18 May,https://www.worldsbk.com//en/event/CZE/2025
Round-6,Pirelli Emilia-Romagna Round,13 - 15 Jun,https://www.worldsbk.com//en/event/ITA/2025
Round-7,Prosecco DOC UK Round,11 - 13 Jul,https://www.worldsbk.com//en/event/GBR/2025
Round-8,Hungarian Round,25 - 27 Jul,https://www.worldsbk.com//en/event/HUN/2025
Round-9,French Round,05 - 07 Sep,https://www.worldsbk.com//en/event/FRA/2025
Round-10,Tissot Aragon Round,26 - 28 Sep,https://www.worldsbk.com//en/event/ARA/2025
Round-11,Estoril Round,10 - 12 Oct,https://www.worldsbk.com//en/event/EST/2025
Round-12,Pirelli Spanish Round,17 - 19 Oct,https://www.worldsbk.com//en/event/JER/2025
